"WHO Region","Country/Territory/Area","Confirmed* 
(new) cases","Total 
(new) 
cases with 
travel 
history to 
China","Total (new) cases 
with    possible    
or confirmed 
transmission 
outside of China†","Total (new) 
cases with site 
of transmission 
under 
investigation","Total (new) 
deaths"
"Western Pacific Region","China‡","28 060(3697)","","","","564 (73)"
"","Singapore","28 (4)","21 (1)","7 (3)","0 (0)","0"
"","Japan","25 (2)","21 (1)","4 (1)","0","0"
"","Republic of Korea","23 (5)","10 (1)","11 (3)","2 (1)","0"
"","Australia","14 (1)","14 (1)","0 (0)","0 (0)","0"
"","Malaysia","12 (2)","9 (2)","2 (0)","1 (0)","0"
"","Viet Nam","10 (0)","7 (0)","3 (0)","0 (0)","0"
"","Philippines","3 (0)","2 (0)","0 (0)","1 (0)","1"
"","Cambodia","1 (0)","1 (0)","0 (0)","0 (0)","0"
"South-East Asia Region","Thailand","25 (0)","21 (0)","4 (0)","0 (0)","0"
"","India","3 (0)","3 (0)","0 (0)","0 (0)","0"
"","Nepal","1 (0)","1 (0)","0 (0)","0 (0)","0"
"","Sri Lanka","1 (0)","1 (0)","0 (0)","0 (0)","0"
"Region of the Americas","United States of 
America","12 (1)","10 (1)","2 (0)","0 (0)","0"
"","Canada","5 (0)","3 (0)","0 (0)","2 (0)","0"
"European Region","Germany","12 (0)","2 (0)","10 (0)","0 (0)","0"
"","France","6 (0)","5 (0)","1 (0)","0 (0)","0"
"","Italy","2 (0)","2 (0)","0 (0)","0 (0)","0"
"","Russian Federation","2 (0)","2 (0)","0 (0)","0 (0)","0"
"","The United Kingdom","2 (0)","1 (0)","1 (0)","0 (0)","0"
"","Belgium","1 (0)","1 (0)","0 (0)","0 (0)","0"
"","Finland","1 (0)","1 (0)","0 (0)","0 (0)","0"
"","Spain","1 (0)","0 (0)","1§ (0)","0 (0)","0"
"","Sweden","1 (0)","1 (0)","0 (0)","0 (0)","0"
"Eastern Mediterranean 
Region","United Arab Emirates","5 (0)","5 (0)","0 (0)","0 (0)","0"
"Other","Cases on an 
international 
conveyance (Japan)","20**(10)","0(0)","0(0)","20 (10)","0"
