"WHO Region","Country/Territory/Area","Confirmed* 
(new) cases","Total 
(new) 
cases with 
travel 
history to 
China","Total (new) cases 
with    possible    
or confirmed 
transmission 
outside of China†","Total (new) 
cases with site 
of transmission 
under 
investigation","Total (new) 
deaths"
"Western Pacific Region","China‡","37 251 (2657)","","","","812 (89)"
"","Singapore","40 (7)","21 (0)","19 (7)","0 (0)","0 (0)"
"","Republic of Korea","27 (3)","13 (2)","12 (1)","2 (0)","0 (0)"
"","Japan","26 (1)","22 (1)","4 (0)","0 (0)","0 (0)"
"","Malaysia","17 (2)","9 (0)","4 (0)","4 (2)","0 (0)"
"","Australia","15 (0)","15 (0)","0 (0)","0 (0)","0 (0)"
"","Viet Nam","14 (1)","8 (0)","6 (1)","0 (0)","0 (0)"
"","Philippines","3 (0)","2 (0)","0 (0)","1 (0)","1 (0)"
"","Cambodia","1 (0)","1 (0)","0 (0)","0 (0)","0 (0)"
"South-East Asia Region","Thailand","32 (0)","22 (0)","6 (0)","4 (0)","0 (0)"
"","India","3 (0)","3 (0)","0 (0)","0 (0)","0 (0)"
"","Nepal","1 (0)","1 (0)","0 (0)","0 (0)","0 (0)"
"","Sri Lanka","1 (0)","1 (0)","0 (0)","0 (0)","0 (0)"
"Region of the Americas","United States of 
America","12 (0)","10 (0)","2 (0)","0 (0)","0 (0)"
"","Canada","7 (0)","6 (0)","0 (0)","1 (0)","0 (0)"
"European Region","Germany","14 (0)","2 (0)","12†† (0)","0 (0)","0 (0)"
"","France","11 (5)","5 (0)","6 (5)","0 (0)","0 (0)"
"","Italy","3 (0)","3 (0)","0 (0)","0 (0)","0 (0)"
"","The United Kingdom","3 (0)","1 (0)","2*** (0)","0 (0)","0 (0)"
"","Russian Federation","2 (0)","2 (0)","0 (0)","0 (0)","0 (0)"
"","Belgium","1 (0)","1 (0)","0 (0)","0 (0)","0 (0)"
"","Finland","1 (0)","1 (0)","0 (0)","0 (0)","0 (0)"
"","Spain","1 (0)","0 (0)","1§ (0)","0 (0)","0 (0)"
"","Sweden","1 (0)","1 (0)","0 (0)","0 (0)","0 (0)"
"Eastern Mediterranean 
Region","United Arab Emirates","7 (0)","5 (0)","1 (0)","1 (0)","0 (0)"
"Other","International 
conveyance (Japan)","64** (0)","0 (0)","0 (0)","64 (0)","0 (0)"
